Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
CHNUF,CHINA EDUCATION RES INC,OTCQB,0.020900,789.941300,0,Foreign Ordinary Shares,Canada,British Columbia
SPOWF,STRATA PWR CORP,OTCQB,0.017000,283.340900,6040,Common Stock,Canada,Alberta
SURJF,SURGE EXPLORATION INC,OTCQB,0.030000,10.264800,13500,Foreign Ordinary Shares,Canada,British Columbia
MITJF,MINT CORPORATION (THE),OTCQB,0.056900,0.000000,0,Foreign Ordinary Shares,Canada,Ontario
IFRTF,INTL FRONTIER RES CORP,OTCQB,0.067900,98.397700,0,Foreign Ordinary Shares,Canada,Alberta
EGTYF,EGUANA TECHS INC ORD,OTCQB,0.107000,60.210800,32750,Foreign Ordinary Shares,Canada,Alberta
DGNOF,DIAGNOS INC,OTCQB,0.265000,62.953800,0,Foreign Ordinary Shares,Canada,Quebec
ERVFF,ERIN VENTURES INC NEW,OTCQB,0.063400,0.000000,0,Foreign Ordinary Shares,Canada,British Columbia
MWXRF,MINEWORX TECH LTD ORD,OTCQB,0.078200,53.786400,15000,Foreign Ordinary Shares,Canada,British Columbia
RLGMF,WEST RED LAKE GOLD MNS,OTCQB,0.051700,52.568200,1000,Foreign Ordinary Shares,Canada,Ontario
ABNAF,ABEN RES LTD ORD,OTCQB,0.166750,52.744400,17000,Foreign Ordinary Shares,Canada,British Columbia
VRSSF,VERSUS SYS INC,OTCQB,0.180000,126.387100,2000,Foreign Ordinary Shares,Canada,British Columbia
ELYGF,ELY GOLD ROYALTIES INC,OTCQB,0.118540,88.324500,3300,Foreign Ordinary Shares,Canada,British Columbia
FFRMF,FUTURE FARM TECHNOLOGIES,OTCQB,0.085350,99.630400,373387,Foreign Ordinary Shares,Canada,British Columbia
CHXMF,TROILUS GOLD CORP,OTCQB,0.404000,58.855300,0,Foreign Ordinary Shares,Canada,Ontario
MNDJF,MANDALAY RES CORP,OTCQB,0.065000,48.612100,47900,Foreign Ordinary Shares,Canada,Ontario
QTRRF,QUATERRA RESOURCES INC,OTCQB,0.060000,70.747800,25000,Foreign Ordinary Shares,Canada,British Columbia
INXSF,INTOUCH INSIGHT LTD LTD,OTCQB,0.287000,373.416700,60000,Foreign Ordinary Shares,Canada,Ontario
RGCTF,REDSTAR GOLD CORP,OTCQB,0.022000,80.056900,0,Foreign Ordinary Shares,Canada,British Columbia
FERL,FEARLESS FILMS INC,OTCQB,0.665000,60.504700,1900,Common Stock,Canada,Ontario
GPTRF,GRANDE PORTAGE ORD,OTCQB,0.105000,39.207200,11923,Foreign Ordinary Shares,Canada,British Columbia
BBSRF,BLUESTONE RESOURCES ORD,OTCQB,0.725340,41.234600,270,Foreign Ordinary Shares,Canada,British Columbia
SRAFF,SANDFIRE RES AMER INC,OTCQB,0.080000,127.823500,210905,Foreign Ordinary Shares,Canada,British Columbia
AQARF,AQUILA RESOURCES INC ORD,OTCQB,0.157500,149.695900,11950,Foreign Ordinary Shares,Canada,Ontario
TUMIF,KINGSMEN RES LTD ORD,OTCQB,0.509000,0.560300,0,Foreign Ordinary Shares,Canada,British Columbia
VRSCF,VALTERRA RES CORP ORD NEW,OTCQB,0.019800,28.462100,15000,Foreign Ordinary Shares,Canada,British Columbia
TLTFF,THERALASE TECHS INC,OTCQB,0.340200,87.895300,70888,Foreign Ordinary Shares,Canada,Ontario
KPIFF,EDGEWATER WIRELESS SY ORD,OTCQB,0.086000,60.941800,37828,Foreign Ordinary Shares,Canada,Ontario
GLVMF,GOLDEN VALLEY MINES LTD,OTCQB,0.247500,91.274500,2000,Foreign Ordinary Shares,Canada,Quebec
ZIMCF,ZIM CORP ORD,OTCQB,0.020000,1.699100,0,Foreign Ordinary Shares,Canada,Ontario
TNREF,TARANIS RESOURCES INC ORD,OTCQB,0.063370,42.397200,0,Foreign Ordinary Shares,Canada,British Columbia
PRIEF,PALEO RESOURCES INC,OTCQB,0.050000,81.135800,0,Foreign Ordinary Shares,Canada,Alberta
PNXLF,ARGENTINA LITH & ENERGY,OTCQB,0.038600,115.923900,0,Common Stock,Canada,British Columbia
NWGI,NEWGIOCO GROUP INC,OTCQB,0.371100,183.064700,2000,Common Stock,Canada,Ontario
STNN,EPHS HOLDINGS INC,OTCQB,0.690000,68.622600,4257,Common Stock,Canada,Quebec
REPCF,REPLICEL LIFE SCIENCE ORD,OTCQB,0.260000,135.347200,10200,Foreign Ordinary Shares,Canada,British Columbia
LIACF,AMERICAN LITHIUM CORP ORD,OTCQB,0.189700,26.135200,26275,Foreign Ordinary Shares,Canada,British Columbia
BEWFF,BEWHERE HLDGS INC,OTCQB,0.154580,0.137700,0,Foreign Ordinary Shares,Canada,Ontario
MDEX,MADISON TECHNOLOGIES INC,OTCQB,0.080000,289.460100,0,Common Stock,Canada,British Columbia
PDPTF,PUDO INC,OTCQB,0.712660,5.847800,0,Foreign Ordinary Shares,Canada,Ontario
GARWF,GOLDEN ARROW RES CP NEW,OTCQB,0.177490,50.023200,5000,Foreign Ordinary Shares,Canada,British Columbia
NRGMF,NRG METALS NC,OTCQB,0.222000,247.231800,127744,Foreign Ordinary Shares,Canada,British Columbia
DYFSF,DYNACERT INC,OTCQB,0.243200,84.674200,17380,Foreign Ordinary Shares,Canada,Ontario
LVRLF,CORDOVACANN CORP,OTCQB,0.650000,87.972700,39500,Foreign Ordinary Shares,Canada,Ontario
EPWMF,EPOWER METALS INC,OTCQB,0.041000,7.912600,0,Foreign Ordinary Shares,Canada,British Columbia
CSRNF,CANSTAR RESOURCES INC,OTCQB,0.029000,123.677500,0,Common Stock,Canada,Ontario
NSRCF,NEXTSOURCE MATERIALS CDA,OTCQB,0.071640,55.327300,56000,Common Stock,Canada,Ontario
VQSLF,VIQ SOLUTIONS INC,OTCQB,0.087600,97.902300,2957,Foreign Ordinary Shares,Canada,Ontario
WCTXF,LICO ENERGY METALS INC,OTCQB,0.064100,38.352700,1000,Common Stock,Canada,British Columbia
ARFXF,PROMIS NEUROSCIENCES INC,OTCQB,0.185000,62.071800,95150,Foreign Ordinary Shares,Canada,Ontario
MFMLF,MARIFIL MINES LTD,OTCQB,0.073230,56.111300,15640,Foreign Ordinary Shares,Canada,British Columbia
PEMIF,PURE ENERGY MINERALS LTD,OTCQB,0.065700,125.160200,53030,Foreign Ordinary Shares,Canada,British Columbia
ENRT,ENERTOPIA CORP,OTCQB,0.023000,72.843800,35000,Common Stock,Canada,British Columbia
RYMDF,RELAY MEDICAL CORP,OTCQB,0.135200,127.483100,25000,Foreign Ordinary Shares,Canada,Ontario
AZZUF,AZARGA URANIUM CORP ORD,OTCQB,0.170000,69.008800,4070,Foreign Ordinary Shares,Canada,British Columbia
TIGCF,TRIUMPH GOLD CORP ORD,OTCQB,0.257600,108.669200,15700,Foreign Ordinary Shares,Canada,British Columbia
KERMF,KERR MINES INC,OTCQB,0.116000,115.409400,36100,Foreign Ordinary Shares,Canada,Ontario
PLYZ,PLYZER TECHNOLOGIES INC,OTCQB,0.200000,39.066300,32500,Common Stock,Canada,Ontario
BLGVF,BELGRAVIA CAPITAL INTL,OTCQB,0.017500,8.028200,0,Foreign Ordinary Shares,Canada,Ontario
OSSIF,ONESOFT SOLUTIONS INC,OTCQB,0.655100,126.169700,23600,Foreign Ordinary Shares,Canada,Alberta
ULTXF,ULTRA LITHIUM INC,OTCQB,0.060000,21.012600,0,Foreign Ordinary Shares,Canada,British Columbia
WSCRF,NORTH AMERICAN NICKE INC,OTCQB,0.010000,0.140400,0,Foreign Ordinary Shares,Canada,British Columbia
GZDIF,GRIZZLY DISCOVERIES INC,OTCQB,0.037200,10.958800,0,Foreign Ordinary Shares,Canada,Alberta
UWEFF,U3O8 CORP,OTCQB,0.096100,18.736800,0,Foreign Ordinary Shares,Canada,Ontario
KNRLF,KONTROL ENERGY CORP ORD,OTCQB,0.547000,14.608300,0,Foreign Ordinary Shares,Canada,Ontario
VPTDF,VENTRIPOINT DIAGNSTCS LTD,OTCQB,0.074890,25.603300,4000,Foreign Ordinary Shares,Canada,Ontario
ALXDF,ALEXANDRIA MINERALS CORP,OTCQB,0.023300,37.827000,1000,Foreign Ordinary Shares,Canada,Ontario
AVCRF,AVRICORE HEALTH INC ORD,OTCQB,0.060000,151.441400,0,Foreign Ordinary Shares,Canada,British Columbia
PCQRF,PETROLYMPIC LTD,OTCQB,0.053000,152.861500,0,Foreign Ordinary Shares,Canada,Ontario
NVDEF,NEVADA EXPL INC,OTCQB,0.197800,133.211600,3104,Foreign Ordinary Shares,Canada,British Columbia
FTMR,FORTEM RESOURCES INC,OTCQB,1.810000,27.578700,6845,Common Stock,Canada,Alberta
TAKUF,TAKU GOLD CORP ORD,OTCQB,0.037500,64.721400,0,Foreign Ordinary Shares,Canada,British Columbia
LIBFF,LIBERTY LEAF HLDG LTD ORD,OTCQB,0.096400,47.939600,3976,Foreign Ordinary Shares,Canada,British Columbia
RVSDF,RIVERSIDE RESOURCES INC,OTCQB,0.126000,161.451300,10000,Foreign Ordinary Shares,Canada,British Columbia
PKSLF,PEEKS SOCIAL LTD ORD,OTCQB,0.061000,28.062000,0,Foreign Ordinary Shares,Canada,Ontario
PMCCF,PELOTON MINERALS CORP,OTCQB,0.065000,117.383300,2100,Foreign Ordinary Shares,Canada,Ontario
BKUCF,BLUE SKY URANIUM CORP,OTCQB,0.115540,177.259800,252063,Foreign Ordinary Shares,Canada,British Columbia
SLSDF,SELECT SANDS CORP ORD,OTCQB,0.070000,40.235600,2800,Foreign Ordinary Shares,Canada,British Columbia
SAYFF,3 SIXTY RISK SOLUTONS LTD,OTCQB,0.246700,182.388700,53517,Foreign Ordinary Shares,Canada,Ontario
PLUUF,PLATEAU ENERGY METALS INC,OTCQB,0.360000,167.370200,5100,Foreign Ordinary Shares,Canada,Ontario
TIMGF,TOACHI MNG INC,OTCQB,0.049400,0.000000,0,Foreign Ordinary Shares,Canada,Ontario
DYMEF,DIONYMED BRANDS INC,OTCQB,1.702000,104.003200,66966,Foreign Ordinary Shares,Canada,Ontario
NRGOF,NEWRANGE GOLD CORP,OTCQB,0.103420,156.042300,0,Foreign Ordinary Shares,Canada,British Columbia
CTMIF,CENTENERA MNG CORP,OTCQB,0.019000,0.000000,0,Foreign Ordinary Shares,Canada,British Columbia
RYES,RISE GOLD CORP,OTCQB,0.052000,51.242100,93000,Common Stock,Canada,British Columbia
MEXGF,MEXICAN GOLD CORP ORD,OTCQB,0.058400,36.144300,0,Foreign Ordinary Shares,Canada,Ontario
ICOTF,ICO THERAPEUTICS INC,OTCQB,0.048000,10.905400,0,Foreign Ordinary Shares,Canada,British Columbia
CHMJF,CHEMISTREE TECH INC ORD,OTCQB,0.390000,133.808700,41175,Foreign Ordinary Shares,Canada,British Columbia
CCWOF,CANADA COBALT WKS INC,OTCQB,0.246500,29.095200,0,Foreign Ordinary Shares,Canada,British Columbia
ARXRF,INFINITE LITHIUM CORP,OTCQB,0.037300,1.291700,0,Foreign Ordinary Shares,Canada,British Columbia
SQIDF,SQI DIAGNOSTICS INC ORD,OTCQB,0.110500,280.809100,0,Foreign Ordinary Shares,Canada,Ontario
PGEZF,GROUP TEN METALS INC ORD,OTCQB,0.090000,36.401100,22500,Foreign Ordinary Shares,Canada,British Columbia
NCPCF,NICKEL CREEK PLATINUM CRP,OTCQB,0.026720,80.260900,0,Foreign Ordinary Shares,Canada,British Columbia
XXMMF,XIMEN MINING CORP,OTCQB,0.360500,80.603700,0,Foreign Ordinary Shares,Canada,British Columbia
PVOTF,PIVOT PHARMACEUTICALS,OTCQB,0.351100,41.080100,12554,Foreign Ordinary Shares,Canada,British Columbia
IPCIF,INTELLIPHARMACEUTICS INTL,OTCQB,0.269000,217.561500,31053,Foreign Ordinary Shares,Canada,Ontario
ETHOF,ETHOS GOLD CORP ORD,OTCQB,0.159600,102.549600,8925,Foreign Ordinary Shares,Canada,British Columbia
CAMZF,CAMINO MINERALS CORP,OTCQB,0.080000,386.271700,0,Foreign Ordinary Shares,Canada,Alberta
FOGCF,FOGCHAIN CORP,OTCQB,0.043000,57.808000,0,Foreign Ordinary Shares,Canada,British Columbia
RNSGF,RENAISSANCE GOLD INC,OTCQB,0.147000,51.329900,0,Foreign Ordinary Shares,Canada,British Columbia
GPHOF,GRAPHITE ONE INC,OTCQB,0.242240,132.578600,8748,Foreign Ordinary Shares,Canada,British Columbia
FCSMF,FOCUS GRAPHITE INC ORD,OTCQB,0.024000,23.319000,8650,Foreign Ordinary Shares,Canada,Ontario
BGAVF,BRAVADA GOLD CORP NEW,OTCQB,0.068200,10.741600,20,Foreign Ordinary Shares,Canada,British Columbia
RGDCF,92 RESOURCES CORP,OTCQB,0.039000,173.894900,0,Foreign Ordinary Shares,Canada,British Columbia
HDRSF,HIGHLAND COPPER CO INC,OTCQB,0.040000,32.493700,20000,Foreign Ordinary Shares,Canada,Quebec
MLGCF,ML GOLD CORP,OTCQB,0.397100,454.861600,1842,Foreign Ordinary Shares,Canada,British Columbia
MAYGF,MEADOW BAY GOLD CORP,OTCQB,0.034500,163.510000,0,Foreign Ordinary Shares,Canada,British Columbia
TWOH,TWO HANDS CORP,OTCQB,0.056800,64.210800,130866,Common Stock,Canada,Ontario
MKSEF,MARKSMEN ENERGY INC ORD,OTCQB,0.035270,72.286400,0,Foreign Ordinary Shares,Canada,Alberta
BBBXF,BRIXTON METALS CORP,OTCQB,0.086900,24.040700,0,Foreign Ordinary Shares,Canada,British Columbia
GGISF,GENESIS METALS CORP,OTCQB,0.044500,10.872200,0,Foreign Ordinary Shares,Canada,British Columbia
GTBDF,GREAT BEAR RES LTD ORD,OTCQB,2.111800,47.809200,15600,Foreign Ordinary Shares,Canada,British Columbia
NXTTF,NAMASTE TECHNOLOGIES ORD,OTCQB,0.585900,52.176500,757498,Foreign Ordinary Shares,Canada,Ontario
TBPMF,TETRA BIO-PHARMA INC ORD,OTCQB,0.432500,58.493800,83870,Foreign Ordinary Shares,Canada,Quebec
PYRNF,PYROGENESIS CDA INC ORD,OTCQB,0.420300,165.023700,3500,Foreign Ordinary Shares,Canada,Quebec
RSASF,RESAAS SERVICES INC ORD,OTCQB,0.176100,49.886600,1500,Foreign Ordinary Shares,Canada,British Columbia
SICNF,SOKOMAN MINERALS CORP,OTCQB,0.066900,2.814600,7000,Foreign Ordinary Shares,Canada,Ontario
MARFF,MARGAUX RESOURCES LTD,OTCQB,0.037200,0.000000,0,Foreign Ordinary Shares,Canada,Alberta
WKLDF,WEST KIRKLAND MINING ORD,OTCQB,0.038400,82.905500,0,Foreign Ordinary Shares,Canada,British Columbia
SMOFF,SONORO METALS CORP,OTCQB,0.135500,569.870600,0,Foreign Ordinary Shares,Canada,British Columbia
ASPCF,ACERUS PHARMACEUTICALS CP,OTCQB,0.111300,36.904800,0,Foreign Ordinary Shares,Canada,Ontario
MGMLF,MAPLE GOLD MINES LTD,OTCQB,0.059620,55.300200,0,Foreign Ordinary Shares,Canada,British Columbia
COBCF,COBALT BLOCKCHAIN INC,OTCQB,0.069700,30.911700,2000,Foreign Ordinary Shares,Canada,Ontario
LEDIF,LED MEDICAL DIAGNSICS INC,OTCQB,0.276800,55.658900,0,Foreign Ordinary Shares,Canada,British Columbia
IPNFF,IMAGINATION PK TECH INC,OTCQB,0.064100,72.123500,0,Foreign Ordinary Shares,Canada,British Columbia
CHOOF,CHOOM HLDGS INC,OTCQB,0.351000,54.374800,100758,Foreign Ordinary Shares,Canada,British Columbia
ANLDF,ANFIELD ENERGY INC,OTCQB,0.148300,83.718300,0,Foreign Ordinary Shares,Canada,British Columbia
LEMIF,LEADING EDGE MATERIALS CO,OTCQB,0.122980,156.932200,163111,Foreign Ordinary Shares,Canada,British Columbia
TAKOF,DRONE DELIVERY CDA CORP,OTCQB,0.997300,28.755300,500,Foreign Ordinary Shares,Canada,Ontario
GGGOF,GALANE GOLD LTD ORD,OTCQB,0.039000,748.771200,0,Foreign Ordinary Shares,Canada,Ontario
ATOXF,DURANGO RESOURCES INC,OTCQB,0.038000,7.309600,0,Foreign Ordinary Shares,Canada,British Columbia
NDENF,BANKERS COBALT CORP,OTCQB,0.015560,2.370200,0,Foreign Ordinary Shares,Canada,British Columbia
BNKL,BIONIK LABORATORIES CORP,OTCQB,4.000000,100.756000,0,Common Stock,Canada,Ontario
GGXXF,GGX GOLD CORP ORD,OTCQB,0.067800,7.561500,50,Foreign Ordinary Shares,Canada,British Columbia
LBCMF,LIBERO COPPER CORP,OTCQB,0.080000,15.789500,0,Foreign Ordinary Shares,Canada,British Columbia
JGLDF,JAPAN GOLD CORP ORD,OTCQB,0.181000,41.772000,12960,Foreign Ordinary Shares,Canada,British Columbia
SKKY,SKKYNET CLOUD SYSTEMS INC,OTCQB,0.300000,108.557000,0,Common Stock,Canada,Ontario
VGRBF,VGRAB COMMUNICATIONS INC,OTCQB,0.145000,73.217600,3448,Foreign Ordinary Shares,Canada,British Columbia
FISOF,FISSION 3.0 CORP,OTCQB,0.067900,182.998700,23000,Foreign Ordinary Shares,Canada,British Columbia
ATIXF,ANALYTIXINSIGHT INC,OTCQB,0.285280,0.383700,0,Foreign Ordinary Shares,Canada,Ontario
CDBMF,CORDOBA MINERALS CORP ORD,OTCQB,0.065600,19.818700,0,Foreign Ordinary Shares,Canada,British Columbia
GLKIF,GREAT LAKES GRAPHITE INC,OTCQB,0.030000,42.058100,130000,Foreign Ordinary Shares,Canada,Ontario
RSSFF,AFFINOR GROWERS INC,OTCQB,0.031900,66.286100,3500,Foreign Ordinary Shares,Canada,British Columbia
ATBHF,ASTON BAY HODGS LTD ORD,OTCQB,0.071200,114.884000,2000,Foreign Ordinary Shares,Canada,Ontario
NTOX,NOTOX TECHNOLOGIES CORP,OTCQB,2.740000,0.000000,0,Common Stock,Canada,Ontario
NSPDF,NATURALLY SPLENDID ENTP,OTCQB,0.081400,66.804300,100,Foreign Ordinary Shares,Canada,British Columbia
MTLFF,METALLIS RESOURCES INC,OTCQB,0.356360,41.118000,64,Foreign Ordinary Shares,Canada,British Columbia
ATBPF,ANTIBE THERAPEUTICS INC,OTCQB,0.259150,41.312800,9780,Foreign Ordinary Shares,Canada,Ontario
BIOIF,BIOME GROW INC,OTCQB,0.428300,83.833400,5140,Foreign Ordinary Shares,Canada,Ontario
ISOLF,ISODIOL INTERNATIONAL INC,OTCQB,0.825000,54.045400,228995,Foreign Ordinary Shares,Canada,British Columbia
VGGOF,VOGOGO INC ORD NEW,OTCQB,1.180000,302.760400,100,Foreign Ordinary Shares,Canada,Ontario
RNSFF,RENAISSANCE OIL CORP ORD,OTCQB,0.106700,85.478500,0,Foreign Ordinary Shares,Canada,British Columbia
EVAHF,THERAMED HEALTH CORP ORD,OTCQB,0.138600,870.684600,1119756,Foreign Ordinary Shares,Canada,British Columbia
FUAPF,GLOBAL CANNABIS APP ORD,OTCQB,0.062000,122.879400,75070,Foreign Ordinary Shares,Canada,British Columbia
MMJFF,MATICA ENTERPRISES ORD,OTCQB,0.073600,95.934100,1400,Foreign Ordinary Shares,Canada,Ontario
FLCX,FLOOIDCX CORP,OTCQB,0.248000,152.507300,33800,Common Stock,Canada,Ontario
PROBF,PROBE METALS INC,OTCQB,0.799800,166.771800,27800,Foreign Ordinary Shares,Canada,Ontario
SPLIF,NUTRITIONAL HIGH INTL ORD,OTCQB,0.160000,56.604800,18932,Foreign Ordinary Shares,Canada,Ontario
RYPPF,RYU APPAREL INC ORD,OTCQB,0.043000,385.464500,79550,Foreign Ordinary Shares,Canada,British Columbia
AQSZF,AEQUUS PHARMACEUTICAL INC,OTCQB,0.126200,83.088900,30000,Foreign Ordinary Shares,Canada,British Columbia
VLMGF,VISCOUNT MINING CORP ORD,OTCQB,0.140000,121.940300,44000,Foreign Ordinary Shares,Canada,British Columbia
TGTMF,TARGETED MICRO SOL ORD,OTCQB,0.020240,32.496300,0,Foreign Ordinary Shares,Canada,British Columbia
CBDY,TARGET GROUP INC,OTCQB,0.095000,72.277200,106001,Common Stock,Canada,Ontario
CWNHF,CROWNIA HOLDINGS LTD,OTCQB,0.049400,0.000000,0,Foreign Ordinary Shares,Canada,British Columbia
VIRFF,VIRIDIUM PAC GROUP LTD,OTCQB,0.297900,62.899900,3750,Common Stock,Canada,British Columbia
